,title,genres,year,originals,everything
273,Carole & Tuesday,"animation,anime,science-fiction,drama,fantasy,romance",2019,1,"Fifty years have passed since mankind began migrating to the new frontier: Mars. It's an age where most culture is produced by AI, and people are content to be passive consumers.  There's a girl. Scrapping a living in the metropolis of Alba City, she's working part time while trying to become a musician. She's always felt like something is missing. Her name is Carole.There's a girl. Born to a wealthy family in the provincial town of Herschel City, she dreams of becoming a musician, but nobody around her understands. She feels like the loneliest person in the world. Her name is Tuesday.A chance meeting brings them together. They want to sing. They want to make music. Together, they feel like they just might have a chance. The two of them may only create a tiny wave. But that wave will eventually grow into something larger... animation,anime,science-fiction,drama,fantasy,romance"
274,Carver Kings,reality,2015,0,Carver Kings presents the unique world of chainsaw carvers and the jaw-dropping art that they create with the buzz of saw. reality
275,Casanova,"drama,comedy,biography",2005,0,"Casanova is a 2005 British television comedy drama serial, written by television scriptwriter Russell T Davies and directed by Sheree Folkson. Produced by Red Production Company for BBC Wales in association with Granada Television, the 3-episode series was first screened on digital television station BBC Three from 13 March, with a repeat on mainstream analogue network BBC One commencing 4 April. drama,comedy,biography"
276,Case,"crime,drama,mystery,thriller",2015,1,"A young ballerina is found hanged on a theatre stage in Reykjavik. The case is closed as suicide but two lawyers and a detective believe dark forces are at play in this challenging Icelandic thriller. crime,drama,mystery,thriller"
277,Case Closed,"action-and-adventure,anime,animation,crime,mystery,comedy,drama,romance,thriller",1996,0,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason. action-and-adventure,anime,animation,crime,mystery,comedy,drama,romance,thriller"
278,Castle and Castle,drama,2018,0,"Castle & Castle is a law series that follows the story of a married couple, ‘Remi Castle’ and her husband ‘Tega’ – two lawyers who run a successful practice in Lagos. They met 20 years ago when he taught her in law school. drama"
279,Castlevania,"animation,action-and-adventure,fantasy,horror",2017,1,"A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series. animation,action-and-adventure,fantasy,horror"
280,Castlevania: Hymn of Blood,"animation,action-and-adventure",2012,0,"Simon Belmont learns his fate and begins a quest that will change his life forever. animation,action-and-adventure"
281,Cathedral of the Sea,"action-and-adventure,drama",2018,1,"In the 14th century, Barcelona is experiencing one of its most prosperous moments. The city has grown to La Ribera, a fishing district in which the largest Marian temple ever known is built: Santa María del Mar. But the construction runs parallel to Arnau Estanyol, a serf of the land who, fleeing the abuses of The feudal lords of the countryside take refuge in Barcelona. action-and-adventure,drama"
282,Caught On Camera (UK),No info,2013,0,UK is the most surveilled place in the world. It is home to more than 6 million CCTV cameras -- about 1 for every 14 people -- that operate 24/7 and generate more than 1 billion hours of ... No info
283,Cells at Work!,"comedy,anime,animation,action-and-adventure,fantasy",2018,0,"This is a story about you. A tale about the inside of your body... According to a new study, the human body consists of approximately 37 trillion cells. These cells are hard at work every day within a world that is your body. From the oxygen-carrying red blood cells to the bacteria-fighting white blood cells, get to know the unsung heroes and the drama that unfolds inside of you! It's the oddly relatable and interesting story that is the life of cells! comedy,anime,animation,action-and-adventure,fantasy"
284,Chambers,"drama,fantasy,horror,mystery,thriller",2019,1,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased. drama,fantasy,horror,mystery,thriller"
285,Champions,comedy,2017,0,"Vince, a charismatic gym owner with no ambition lives with his younger brother Michael, a gorgeous idiot. Their simple life of women and working out is put on hold when the teenage son of Vince is dropped off on their doorstep by Priya, one of his old high school flings. comedy"
286,Changing Faces,No info,2015,0,Dr. Michael Zacharia and Dr. David Penn are experts in their field of Changing Faces through cosmetic and dental surgery. We follow the journey of six patients with unique and compelling reasons for a medical transformation. No info
287,Changing Seas,"documentary,action-and-adventure",2009,0,"Changing Seas is a public television series produced by WPBT2 in Miami, Florida. Narrated by well-known voice talent Peter Thomas, this series takes viewers on an exciting adventure to the ... documentary,action-and-adventure"
288,Charité at War,"drama,history",2017,1,"Berlin, 1888. After penniless Ida’s life is saved at the Charité Hospital she must work off the treatment costs. While she becomes acquainted with the most brilliant physicians of this era at the world-famous hospital, the self-determined young woman discovers her passion for medicine. drama,history"
289,Charlie's Colorforms City,"comedy,animation,family,action-and-adventure,fantasy,science-fiction,children",2019,1,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West -- and right at home. comedy,animation,family,action-and-adventure,fantasy,science-fiction,children"
290,Charmed,"drama,fantasy,mystery",2018,0,"Set in the fictional college town of Hilltowne, Charmed follows the lives of three sisters, Macy, Mel and Maggie Vera who, after the tragic death of their mother, discover they are three of the most powerful witches of all time. drama,fantasy,mystery"
291,Charmed_1998,"drama,science-fiction,fantasy,mystery,comedy",1998,0,"Three sisters (Prue, Piper and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern day San Francisco. drama,science-fiction,fantasy,mystery,comedy"
292,Chasing Cameron,"documentary,reality",2016,1,"The series stars Dallas and his famous friends embarking on a new tour of Magcon around Europe. Aaron Carpenter, Taylor Caniff, Blake Gray, Trey Schafer and Willie Jones are also starring in the series. documentary,reality"
293,Cheer,"documentary,reality,sport",2020,1,"The stakes on the mat are high, but for these cheerleaders, the only thing more brutal than their workouts and more exceptional than their performances are the stories of adversity and triumph behind the athletes themselves. documentary,reality,sport"
294,Cheers,"comedy,drama",1982,0,"The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there. comedy,drama"
295,Cheer Squad,"documentary,reality",2016,0,"The Great White Sharks are a sisterhood, there for each other through first loves, new jobs, bad breakups, and everything in between. But they are also elite athletes, idolized by thousands and members of the best all-star cheerleading team in the world. Cheer Squad follows the two-time World Cheerleading Champions on the long road to defending their title as they try to balance life off the mat with the all-consuming battle to stay on top. documentary,reality"
